CHANGE_DATE,OLD_TICKER,NEW_TICKER,OLD_CLOSE,NEW_CLOSE,RATIO
20070420,000817.SZ,,8.75,8.8,1
20090505,000515.SZ,000629.SZ,15.29,9.7,1.178
20090826,600840.SH,600208.SH,23.8,11,1.85
20091229,600357.SH,000709.SZ,7.4,7.09,1.089
20091229,600001.SH,000709.SZ,5.29,7.09,0.775
20100211,600607.SH,601607.SH,23.52,14.73,1.61
20100212,600842.SH,601607.SH,13.96,14.73,0.96
20110301,600553.SH,601992.SH,14.98,15.05,1.2
20110322,000578.SZ,000792.SZ,24.44,57.77,0.344827586
20110823,600631.SH,600827.SH,15.68,18.8,0.861
20120227,600102.SH,600022.SH,7.13,3.68,2.41
20120308,600263.SH,601800.SH,16.43,5.4,2.69
20120328,600991.SH,601238.SH,17.82,9.09,1.6
20130426,000522.SZ,600332.SH,23.27,35.05,0.95
20130715,600253.SH,600056.SH,6.26,20.97,0.313
20130718,000602.SZ,,13.41,13.46,1
20130917,000527.SZ,000333.SZ,14.02,42.24,0.3447
20150126,000562.SZ,000166.SZ,30.5,19.65,2.049382716
20150518,600832.SH,600637.SH,23.18,67.35,0.327868852
20150520,601299.SH,601766.SH,29.98,29.45,1.1
20151102,300186.SZ,300498.SZ,45.72,55.31,0.807
20151230,000024.SZ,001979.SZ,40.5,23.18,1.6008
20170117,000748.SZ,000066.SZ,20.31,11.47,1.843657817
20170214,600005.SH,600019.SH,3.71,6.8,0.56
20171225,000916.SZ,001965.SZ,8.82,11.4,0.6956
20190117,600270.SH,601598.SH,20.99,4.89,3.8225
20190620,000418.SZ,000333.SZ,57.39,53.29,1.15144821
20210128,600317.SH,601880.SH,2.6,1.92,1.503
20200916,300216.SZ,,0.19,0,1
20210927,600068.SH,601868.SH,9.93,1.96,4.4337
20220121,000780.SZ,001289.SZ,10.95,24.79,0.3407
